t [s],ag [g]
1.165000,-0.02271079
1.170000,-0.00875212
1.175000,0.00973478
1.180000,0.00088305
1.185000,0.00762535
1.190000,0.01485231
1.195000,0.01942347
1.200000,0.03766547
1.205000,0.05884714
1.210000,0.06599757
1.215000,0.06990427
1.220000,0.05798591
1.225000,0.04608930
1.230000,0.05037431
1.235000,0.04748487
1.240000,0.03321451
1.245000,0.03008172
1.250000,0.03137227
1.255000,0.03788258
1.260000,0.03448801
1.265000,0.02958307
1.270000,0.02733343
1.275000,0.02668640
1.280000,0.01322002
1.285000,0.01934118
1.290000,0.03856161
1.295000,0.04382890
1.300000,0.02653642
1.305000,0.02495422
1.310000,0.00472380
1.315000,-0.01566470
1.320000,-0.01011755
1.325000,-0.01053461
1.330000,-0.01874156
1.335000,-0.04124266
1.340000,-0.05446374
1.345000,-0.05200682
1.350000,-0.05075699
1.355000,-0.04225248
1.360000,-0.02473356
1.365000,-0.02779603
1.370000,-0.02182426
1.375000,-0.02262398
1.380000,-0.02734079
1.385000,-0.02905559
1.390000,-0.01702598
1.395000,-0.02787227
1.400000,-0.01354228
1.405000,0.00437651
1.410000,0.00508343
1.415000,0.00828095
1.420000,-0.00832578
1.425000,0.02024138
1.430000,0.03155378
1.435000,0.03275510
1.440000,0.03239200
1.445000,0.03671023
1.450000,0.02723280
1.455000,0.02943920
1.460000,0.01644626
1.465000,0.02153702
1.470000,0.01159476
1.475000,0.02188700
1.480000,0.01887973
1.485000,0.02092004
1.490000,0.05784448
1.495000,0.06557036
1.500000,0.06586225
1.505000,0.06299736
1.510000,0.04557376
1.515000,0.05696662
1.520000,0.07498765
1.525000,0.07149463
1.530000,0.09000664
1.535000,0.08322158
1.540000,0.05336357
1.545000,0.03976527
1.550000,0.02080422
1.555000,0.01342263
1.560000,0.01915270
1.565000,0.00253508
1.570000,-0.00132524
1.575000,-0.00089147
1.580000,-0.01394870
1.585000,-0.02911979
1.590000,-0.02897510
1.595000,-0.01692958
1.600000,-0.02710647
1.605000,-0.03909803
1.610000,-0.04133944
1.615000,-0.03673178
1.620000,-0.04483573
1.625000,-0.04932065
1.630000,-0.05189291
1.635000,-0.06756574
1.640000,-0.06832818
1.645000,-0.07488868
1.650000,-0.04690036
1.655000,-0.05310412
1.660000,-0.04331053
1.665000,-0.03490984
1.670000,-0.05108910
1.675000,-0.06892684
1.680000,-0.07290382
1.685000,-0.05820086
1.690000,-0.06438716
1.695000,-0.07169732
1.700000,-0.11663990
1.705000,-0.11763251
1.710000,-0.10617363
1.715000,-0.09248303
1.720000,-0.07922672
1.725000,-0.07937119
1.730000,-0.07766175
1.735000,-0.05725874
1.740000,-0.05450220
1.745000,-0.09045270
1.750000,-0.06588191
1.755000,-0.07969313
1.760000,-0.04865182
1.765000,-0.01260653
1.770000,0.00529147
1.775000,0.02510987
1.780000,0.06180880
1.785000,0.04199208
1.790000,0.04773167
1.795000,0.05270867
1.800000,0.03435422
1.805000,0.07298268
1.810000,0.06059135
1.815000,0.04528412
1.820000,0.04947548
1.825000,0.06820613
1.830000,0.05420260
1.835000,0.04034782
1.840000,0.04854200
1.845000,0.01792368
1.850000,0.00108704
1.855000,-0.01663540
1.860000,-0.02565542
1.865000,-0.02838857
1.870000,0.00971668
1.875000,0.02758075
1.880000,0.02660351
1.885000,0.02042371
1.890000,0.03730949
1.895000,0.04428663
1.900000,0.06072729
1.905000,0.08696613
1.910000,0.06126996
1.915000,0.00933696
1.920000,0.00686708
1.925000,0.00670962
1.930000,0.01112782
1.935000,-0.00393370
1.940000,-0.01046458
1.945000,0.00079572
1.950000,0.01303233
1.955000,0.04103891
1.960000,-0.01037028
1.965000,-0.04868852
1.970000,-0.01515690
1.975000,-0.00184947
1.980000,0.01541857
1.985000,0.00736746
1.990000,-0.00485859
1.995000,-0.00102395
2.000000,-0.02392061
2.005000,-0.05972260
2.010000,-0.08418825
2.015000,-0.07873168
2.020000,-0.06097688
2.025000,-0.01989550
2.030000,-0.01016253
2.035000,0.00157983
2.040000,0.04131016
2.045000,0.02175057
2.050000,-0.00151875
2.055000,-0.01413037
2.060000,-0.01592892
2.065000,0.03198153
2.070000,0.02254030
2.075000,0.05207907
2.080000,0.03870716
2.085000,0.04821397
2.090000,0.06165056
2.095000,0.07091931
2.100000,0.08471970
2.105000,0.06404217
2.110000,0.09410889
2.115000,0.11170525
2.120000,0.08894735
2.125000,0.09501362
2.130000,0.06366482
2.135000,0.06064546
2.140000,0.02801299
2.145000,0.04079460
2.150000,0.10569318
2.155000,0.13309937
2.160000,0.14186571
2.165000,0.11171570
2.170000,0.11242340
2.175000,0.13171363
2.180000,0.12025324
2.185000,0.11406934
2.190000,0.06523806
2.195000,0.03777662
2.200000,-0.01182929
2.205000,0.02869736
2.210000,0.03420330
2.215000,0.04552887
2.220000,0.03481227
2.225000,-0.00487380
2.230000,-0.00461283
2.235000,-0.02314102
2.240000,-0.04852726
2.245000,-0.04864956
2.250000,-0.04713714
2.255000,-0.05214359
2.260000,-0.07054392
2.265000,-0.09287095
2.270000,-0.09074568
2.275000,-0.05981698
2.280000,-0.09586999
2.285000,-0.10810258
2.290000,-0.10790910
2.295000,-0.10724740
2.300000,-0.11640394
2.305000,-0.06585028
2.310000,-0.05269328
2.315000,-0.07232826
2.320000,-0.11210303
2.325000,-0.11015124
2.330000,-0.06932504
2.335000,-0.05993882
2.340000,-0.10954046
2.345000,-0.13517342
2.350000,-0.12446224
2.355000,-0.09173597
2.360000,-0.08171052
2.365000,-0.07176188
2.370000,-0.04050488
2.375000,-0.00614317
2.380000,-0.01844528
2.385000,-0.00439079
2.390000,-0.02369636
2.395000,-0.04523385
2.400000,-0.02707345
2.405000,-0.05673034
2.410000,-0.04802798
2.415000,-0.03625865
2.420000,-0.01214979
2.425000,-0.03611712
2.430000,-0.02344876
2.435000,-0.02316293
2.440000,0.01474469
2.445000,-0.00107342
2.450000,-0.02509005
2.455000,-0.01062748
2.460000,-0.02851404
2.465000,-0.05606446
2.470000,-0.03097067
2.475000,-0.01800179
2.480000,-0.08845588
2.485000,-0.10496122
2.490000,-0.12499795
2.495000,-0.10298477
2.500000,-0.06213186
2.505000,-0.00895575
2.510000,0.01054650
2.515000,-0.01305166
2.520000,-0.03677872
2.525000,-0.05552284
2.530000,-0.03980581
2.535000,-0.00649014
2.540000,-0.04899184
2.545000,-0.03082930
2.550000,-0.00588760
2.555000,0.00371961
2.560000,0.08117089
2.565000,0.09222394
2.570000,0.09063597
2.575000,0.10218182
2.580000,0.08582783
2.585000,0.05667841
2.590000,0.06392388
2.595000,0.08778642
2.600000,0.07798411
2.605000,0.09542001
2.610000,0.08145987
2.615000,0.11471892
2.620000,0.11329199
2.625000,0.11905536
2.630000,0.12970317
2.635000,0.09003714
2.640000,0.07896074
2.645000,0.11548803
2.650000,0.10824903
2.655000,0.13301892
2.660000,0.14448127
2.665000,0.09173827
2.670000,0.10007515
2.675000,0.06596444
2.680000,0.06465037
2.685000,0.04756222
2.690000,0.04139743
2.695000,0.03338826
2.700000,0.03313180
2.705000,0.01683813
2.710000,-0.01982877
2.715000,-0.04691126
2.720000,-0.02755317
2.725000,0.01035247
2.730000,0.01214869
2.735000,0.02827306
2.740000,0.04703073
2.745000,0.01026991
2.750000,-0.03694911
2.755000,-0.03958447
2.760000,-0.08492517
2.765000,-0.09030942
2.770000,-0.12327509
2.775000,-0.13453898
2.780000,-0.14781768
2.785000,-0.13029323
2.790000,-0.14022214
2.795000,-0.16102870
2.800000,-0.15255795
2.805000,-0.07560067
2.810000,-0.05911211
2.815000,-0.10019345
2.820000,-0.09195469
2.825000,-0.02578583
2.830000,-0.01824981
2.835000,0.01491480
2.840000,0.04267826
2.845000,0.07095680
2.850000,0.09458806
2.855000,0.09890769
2.860000,0.09165399
2.865000,0.08201517
2.870000,0.08168026
2.875000,0.08819322
2.880000,0.05427657
2.885000,0.04464848
2.890000,0.04083140
2.895000,0.04050511
2.900000,0.03030923
2.905000,0.04653226
2.910000,0.04075776
2.915000,0.02874056
2.920000,-0.00305582
2.925000,-0.02289344
2.930000,-0.01830060
2.935000,-0.01631488
2.940000,-0.06478340
2.945000,-0.04189660
2.950000,-0.05769074
2.955000,-0.07734805
2.960000,-0.04880391
2.965000,-0.01993995
2.970000,-0.03591292
2.975000,-0.04288638
2.980000,-0.06980776
2.985000,-0.04784590
2.990000,-0.02440301
2.995000,-0.03319554
3.000000,0.00122657
3.005000,0.02329276
3.010000,0.02002891
3.015000,0.03652421
3.020000,-0.00337258
3.025000,-0.00932127
3.030000,-0.00302018
3.035000,-0.00309819
3.040000,0.04502819
3.045000,0.05054476
3.050000,0.05695376
3.055000,0.02324313
3.060000,0.01731993
3.065000,-0.00240322
3.070000,0.05190296
3.075000,0.03941416
3.080000,0.03974536
3.085000,0.06561061
3.090000,0.07726347
3.095000,0.03985241
3.100000,0.05163921
3.105000,0.06456430
3.110000,0.05598671
3.115000,0.06269919
3.120000,0.06061352
3.125000,0.02359369
3.130000,0.00713180
3.135000,0.00501091
3.140000,-0.01115231
3.145000,-0.00025388
3.150000,0.02119903
3.155000,0.02485779
3.160000,0.01325929
3.165000,0.04272755
3.170000,0.04240540
3.175000,0.04707574
3.180000,0.02535088
3.185000,0.01716481
3.190000,0.03775760
3.195000,0.05162866
3.200000,0.04312816
3.205000,0.03943618
3.210000,0.04029597
3.215000,0.01439710
3.220000,0.00715981
3.225000,-0.00737054
3.230000,-0.04171139
3.235000,-0.03858281
3.240000,-0.04224808
3.245000,-0.07643802
3.250000,-0.09341328
3.255000,-0.09281426
3.260000,-0.15748105
3.265000,-0.14729251
3.270000,-0.13498273
3.275000,-0.11369955
3.280000,-0.12193626
3.285000,-0.14889527
3.290000,-0.12646208
3.295000,-0.15137473
3.300000,-0.13016615
3.305000,-0.13787924
3.310000,-0.15288853
3.315000,-0.13644239
3.320000,-0.10093029
3.325000,-0.09649564
3.330000,-0.09421413
3.335000,-0.12571520
3.340000,-0.09694989
3.345000,-0.08687813
3.350000,-0.08520509
3.355000,-0.04659804
3.360000,-0.07679682
3.365000,-0.08107890
3.370000,-0.07328377
3.375000,-0.07282051
3.380000,-0.12251373
3.385000,-0.10508998
3.390000,-0.09707294
3.395000,-0.06490967
3.400000,-0.00986172
3.405000,-0.00917477
3.410000,0.00460629
3.415000,0.01451303
3.420000,0.02178744
3.425000,0.02125101
3.430000,0.03269688
3.435000,0.06075201
3.440000,0.04110863
3.445000,0.08618455
3.450000,0.09654837
3.455000,0.10128616
3.460000,0.04563174
3.465000,0.04407851
3.470000,0.01976932
3.475000,0.03248914
3.480000,0.05353558
3.485000,0.07816822
3.490000,0.07082016
3.495000,0.06561579
3.500000,0.07234563
3.505000,0.01926440
3.510000,0.00698367
3.515000,-0.00737888
3.520000,0.00375082
3.525000,-0.00835850
3.530000,0.00816359
3.535000,0.00220277
3.540000,0.02102484
3.545000,0.07105636
3.550000,0.10364887
3.555000,0.12045228
3.560000,0.14089678
3.565000,0.12481399
3.570000,0.09945999
3.575000,0.07299268
3.580000,0.07171626
3.585000,0.10028512
3.590000,0.07608554
3.595000,0.08067188
3.600000,0.04482325
3.605000,0.01098830
3.610000,0.02705093
3.615000,0.00650227
3.620000,-0.01382590
3.625000,0.02978355
3.630000,0.02729973
3.635000,0.02230975
3.640000,0.01323938
3.645000,0.01969156
3.650000,-0.00029285
3.655000,-0.00151647
3.660000,0.02154520
3.665000,0.01090805
3.670000,-0.04744327
3.675000,-0.06308766
3.680000,-0.04451849
3.685000,-0.01807670
3.690000,-0.01014350
3.695000,0.02251352
3.700000,-0.00375004
3.705000,0.02524244
3.710000,0.02814950
3.715000,0.04180935
3.720000,-0.02788825
3.725000,-0.00713094
3.730000,-0.00245158
3.735000,0.04133791
3.740000,0.04321674
3.745000,0.01772525
3.750000,-0.00290334
3.755000,0.00555840
3.760000,0.01147138
3.765000,-0.00485827
3.770000,-0.03069612
3.775000,0.00502602
3.780000,-0.00154950
3.785000,-0.00386577
3.790000,-0.01692736
3.795000,0.01578383
3.800000,0.04069467
3.805000,0.01458160
3.810000,0.01148232
3.815000,-0.01130406
3.820000,0.03177818
3.825000,0.04023556
3.830000,0.03134387
3.835000,0.02134623
3.840000,0.03230317
3.845000,0.02430895
3.850000,0.05842377
3.855000,0.03338965
3.860000,0.00195200
3.865000,0.03359589
3.870000,0.02109604
3.875000,0.05222384
3.880000,0.06949356
3.885000,0.03358667
3.890000,0.01642121
3.895000,0.01531226
3.900000,0.00796687
3.905000,0.01319307
3.910000,-0.00314710
3.915000,-0.00646312
3.920000,0.01587698
3.925000,0.04520884
3.930000,0.02372260
3.935000,0.01603961
3.940000,0.01110891
3.945000,-0.02223560
3.950000,-0.00069324
3.955000,0.01143422
3.960000,0.02214611
3.965000,0.01767703
3.970000,0.03631392
3.975000,0.05640108
3.980000,0.08023526
3.985000,0.07186526
3.990000,0.07575616
3.995000,0.06204017
4.000000,0.05021865
4.005000,0.06927034
4.010000,0.06579889
4.015000,0.05747409
4.020000,0.06707762
4.025000,0.07769132
4.030000,0.05455517
4.035000,0.03467772
4.040000,0.04736488
4.045000,0.05523429
4.050000,0.04556456
4.055000,0.06912473
4.060000,0.06145359
4.065000,0.01110512
4.070000,-0.01076051
4.075000,-0.04752558
4.080000,-0.02131434
4.085000,-0.01077623
4.090000,-0.00947702
4.095000,-0.06508615
4.100000,-0.09870777
4.105000,-0.09961914
4.110000,-0.13817648
4.115000,-0.11108735
4.120000,-0.10895520
4.125000,-0.10742980
4.130000,-0.10371535
4.135000,-0.12054635
4.140000,-0.13857937
4.145000,-0.17556992
4.150000,-0.16572059
4.155000,-0.14677214
4.160000,-0.14317765
4.165000,-0.14041918
4.170000,-0.15283823
4.175000,-0.13661137
4.180000,-0.18394134
4.185000,-0.19765985
4.190000,-0.20000000
4.195000,-0.19830861
4.200000,-0.17926748
4.205000,-0.17019008
4.210000,-0.15303697
4.215000,-0.11079747
4.220000,-0.06709098
4.225000,-0.04205751
4.230000,-0.00410896
4.235000,0.04336025
4.240000,0.05677939
4.245000,0.02773624
4.250000,0.05552487
4.255000,0.03500037
4.260000,0.08164786
4.265000,0.12288982
4.270000,0.10948175
4.275000,0.08232558
4.280000,0.06528315
4.285000,0.06307039
4.290000,0.09211714
4.295000,0.06081718
4.300000,0.07989543
4.305000,0.02889007
4.310000,0.05640995
4.315000,0.05289875
4.320000,0.05545213
4.325000,0.05057489
4.330000,0.07010273
4.335000,0.07551696
4.340000,0.11133047
4.345000,0.06445260
4.350000,0.03945777
4.355000,0.00497931
4.360000,0.02011570
4.365000,-0.02153871
4.370000,0.03486516
4.375000,0.03451033
4.380000,0.06058646
4.385000,0.03439942
4.390000,0.03632040
4.395000,0.04816354
4.400000,0.02837715
4.405000,0.02049632
4.410000,0.05471701
4.415000,0.08083412
4.420000,0.08975316
4.425000,0.13073187
4.430000,0.07822430
4.435000,0.07977673
4.440000,0.06539929
4.445000,0.09370777
4.450000,0.11350438
4.455000,0.13375871
4.460000,0.11165260
4.465000,0.11723163
4.470000,0.13454397
4.475000,0.15606387
4.480000,0.12444606
4.485000,0.09943591
4.490000,0.09695443
4.495000,0.12140655
4.500000,0.12671832
4.505000,0.14936060
4.510000,0.09306317
4.515000,0.07806958
4.520000,0.08168919
4.525000,0.07985412
4.530000,0.02754910
4.535000,0.04735867
4.540000,0.04894810
4.545000,0.03162111
4.550000,0.05405563
4.555000,0.00729689
4.560000,-0.00903771
4.565000,0.00818929
4.570000,0.01316462
4.575000,0.00411407
4.580000,-0.00272886
4.585000,-0.01095441
4.590000,0.00713579
4.595000,-0.00265240
4.600000,0.01109541
4.605000,-0.04021759
4.610000,-0.01177667
4.615000,0.04424098
4.620000,0.05281139
4.625000,0.04729385
4.630000,0.03142882
4.635000,0.04504582
4.640000,0.02655943
4.645000,0.00481988
4.650000,-0.04669427
4.655000,-0.04057014
4.660000,-0.04685987
4.665000,-0.05135189
4.670000,-0.04992373
4.675000,-0.06479465
4.680000,-0.05787219
4.685000,-0.08058561
4.690000,-0.07958642
4.695000,-0.08218999
4.700000,-0.11779009
4.705000,-0.14009455
4.710000,-0.14662234
4.715000,-0.15172454
4.720000,-0.13693369
4.725000,-0.13781060
4.730000,-0.13000026
4.735000,-0.13051317
4.740000,-0.18175987
4.745000,-0.17298752
4.750000,-0.18091894
4.755000,-0.17217031
4.760000,-0.17754578
4.765000,-0.14908583
4.770000,-0.13780867
4.775000,-0.10909937
4.780000,-0.07963399
4.785000,-0.08282308
4.790000,-0.05361087
4.795000,-0.03931696
4.800000,-0.05585385
4.805000,-0.04990010
4.810000,-0.03938873
4.815000,-0.00190640
4.820000,-0.00393851
4.825000,0.03873228
4.830000,0.06071657
4.835000,0.01391954
4.840000,-0.00628156
4.845000,0.01200220
4.850000,-0.01839495
4.855000,-0.00263274
4.860000,0.03362592
4.865000,0.02967603
4.870000,0.06482051
4.875000,0.09638302
4.880000,0.09404051
4.885000,0.09186300
4.890000,0.09436668
4.895000,0.10255209
4.900000,0.06317526
4.905000,0.05801104
4.910000,0.01706491
4.915000,0.00862211
4.920000,0.00343848
4.925000,-0.03892561
4.930000,-0.06663482
4.935000,-0.07281049
4.940000,-0.01857377
4.945000,-0.04917783
4.950000,-0.04314280
4.955000,-0.06098788
4.960000,-0.06585040
4.965000,-0.03847722
4.970000,-0.02774790
4.975000,-0.01463907
4.980000,-0.00051437
4.985000,0.01509041
4.990000,-0.03402852
4.995000,-0.02171152
5.000000,-0.02081723
5.005000,-0.00863036
5.010000,0.01338306
5.015000,0.02467211
5.020000,0.04185094
5.025000,0.01464534
5.030000,0.02620775
5.035000,0.02420287
5.040000,0.02269301
5.045000,0.05359583
5.050000,0.04133676
5.055000,0.02519132
5.060000,-0.00560799
5.065000,-0.01145112
5.070000,0.01496261
5.075000,-0.02367984
5.080000,-0.01593412
5.085000,-0.07353710
5.090000,-0.08569093
5.095000,-0.07068386
5.100000,-0.07878740
5.105000,-0.10186037
5.110000,-0.10425839
5.115000,-0.07446220
5.120000,-0.03373840
5.125000,0.00606080
5.130000,0.02490710
5.135000,0.03536119
5.140000,0.05985180
5.145000,0.03302978
5.150000,0.01133773
5.155000,0.04322922
5.160000,0.06360556
5.165000,0.08342921
5.170000,0.08692721
5.175000,0.06546613
5.180000,0.03855653
5.185000,0.05971859
5.190000,0.08334569
5.195000,0.05430988
5.200000,0.03507245
5.205000,0.03136061
5.210000,0.05062895
5.215000,0.04067680
5.220000,0.01903833
5.225000,0.04127104
5.230000,0.05351328
5.235000,0.03499498
5.240000,0.01791889
5.245000,0.04290044
5.250000,0.01099412
5.255000,0.00340536
5.260000,0.01355652
5.265000,0.01674040
5.270000,0.03775949
5.275000,-0.00380352
5.280000,-0.00332947
5.285000,0.00387974
5.290000,0.01167529
5.295000,0.02493668
5.300000,-0.00309225
5.305000,0.03109637
5.310000,0.04085032
5.315000,0.05267985
5.320000,0.03735135
5.325000,0.04024019
5.330000,0.06987849
5.335000,0.06681035
5.340000,0.06862616
5.345000,0.07307020
5.350000,0.03156585
5.355000,0.02571646
5.360000,0.04037335
5.365000,0.02684362
5.370000,0.02427174
5.375000,0.02205574
5.380000,-0.01624409
5.385000,0.00280332
5.390000,-0.02921870
5.395000,-0.01829954
5.400000,-0.02060369
5.405000,-0.02750772
5.410000,-0.02442896
5.415000,-0.00521041
5.420000,0.01481804
5.425000,0.00503160
5.430000,0.00184767
5.435000,-0.01744299
5.440000,-0.05002797
5.445000,-0.02476203
5.450000,-0.04818853
5.455000,-0.06210730
5.460000,-0.04918915
5.465000,-0.07695434
5.470000,-0.06067573
5.475000,-0.07574249
5.480000,-0.09687559
5.485000,-0.10393499
5.490000,-0.11674078
5.495000,-0.10328765
5.500000,-0.06234731
5.505000,-0.04014601
5.510000,-0.02360303
5.515000,-0.03297700
5.520000,-0.03327834
5.525000,-0.02577415
5.530000,-0.02251024
5.535000,-0.01471856
5.540000,-0.03879075
5.545000,0.00731136
5.550000,-0.02115773
5.555000,-0.02091470
5.560000,0.00202125
5.565000,-0.01281939
5.570000,0.01480777
5.575000,-0.01633515
5.580000,-0.03082063
5.585000,-0.08242876
5.590000,-0.05280669
5.595000,-0.07628950
5.600000,-0.08705994
5.605000,-0.06315024
5.610000,-0.04988229
5.615000,-0.02020306
5.620000,-0.00141121
5.625000,0.02226787
5.630000,0.01276862
5.635000,0.01265411
5.640000,0.03166476
5.645000,0.05009326
5.650000,0.07210577
5.655000,0.05292486
5.660000,0.02641843
5.665000,-0.00301441
5.670000,-0.01313932
5.675000,-0.01417010
5.680000,-0.04069396
5.685000,-0.04253229
5.690000,-0.02508590
5.695000,0.00017681
5.700000,-0.01238113
5.705000,0.00254356
5.710000,-0.02627073
5.715000,-0.03958705
5.720000,-0.03437897
5.725000,-0.04687057
5.730000,-0.06190507
5.735000,-0.05172427
5.740000,-0.07124433
5.745000,-0.06408763
5.750000,-0.06212296
5.755000,-0.04567387
5.760000,-0.02397460
5.765000,-0.01760591
5.770000,-0.02625944
5.775000,0.00059317
5.780000,0.00740320
5.785000,-0.01137021
5.790000,-0.00490621
5.795000,-0.01711832
5.800000,-0.07368865
5.805000,-0.09141790
5.810000,-0.09468511
5.815000,-0.09942337
5.820000,-0.12901363
5.825000,-0.12938181
5.830000,-0.11121489
5.835000,-0.13009665
5.840000,-0.11531719
5.845000,-0.15425982
5.850000,-0.13220550
5.855000,-0.13573707
5.860000,-0.15699082
5.865000,-0.11986834
5.870000,-0.09895153
5.875000,-0.06737003
5.880000,-0.05192192
5.885000,-0.03627586
5.890000,-0.03845160
5.895000,-0.02186135
5.900000,-0.01790002
5.905000,-0.02727397
5.910000,-0.02596810
5.915000,-0.05025288
5.920000,-0.04455539
5.925000,-0.02825404
5.930000,-0.02002495
5.935000,-0.00190361
5.940000,-0.00512999
5.945000,-0.00042131
5.950000,0.00381293
5.955000,0.05200339
5.960000,0.02283671
5.965000,0.07179968
5.970000,0.05462709
5.975000,0.04688792
5.980000,0.05342923
5.985000,0.06648251
5.990000,0.06464772
5.995000,0.06838109
6.000000,0.09891528
6.005000,0.15605465
6.010000,0.15971229
6.015000,0.16933290
6.020000,0.15956226
6.025000,0.19047273
6.030000,0.17854447
6.035000,0.18096635
6.040000,0.14677091
6.045000,0.07599644
6.050000,0.12202962
6.055000,0.13836905
6.060000,0.15040276
6.065000,0.11888536
6.070000,0.07214767
6.075000,0.05937143
